season,participant_id,staff,time,coach_nr_years_head,coach_nr_years_head_alone,coach_nr_years_head_with_ass,coach_nr_years_ass,coach_nr_years_shared_leadership,personality_neurotism,personality_extrovert,personality_openness,personality_agreeableness,personality_conscientiousness,transformational_leadership,shared_leadership_model,shared_leadership_collaboration,shared_leadership_roles,psych_safety,personality_neurotism_1,personality_neurotism_2,personality_neurotism_3,personality_extrovert_1,personality_extrovert_2,personality_extrovert_3,personality_openness_1,personality_openness_2,personality_openness_3,personality_agreeableness_1,personality_agreeableness_2,personality_agreeableness_3,personality_conscientiousness_1,personality_conscientiousness_2,personality_conscientiousness_3,transformational_leadership_1,transformational_leadership_2,transformational_leadership_3,transformational_leadership_4,transformational_leadership_5,transformational_leadership_6,transformational_leadership_7,shared_leadership_1,shared_leadership_2,shared_leadership_3,shared_leadership_4,shared_leadership_5,shared_leadership_6,shared_leadership_7,shared_leadership_8,shared_leadership_9,performance_training,performance_game,role_1,role_2,role_3,collaboration_1,collaboration_2,collaboration_3,collaboration_4,psych_safety_1,psych_safety_2,psych_safety_3,psych_safety_4,psych_safety_5,psych_safety_6,psych_safety_7,basic_needs_autonomy,basic_needs_competence,basic_needs_relatedness,participate_last_year,contact_pre,contact_post,general_experience,performance_collaboration
2023,PRU18,DU18,pre,40,40,20,3,1,2.3333333333333335,3.6666666666666665,4.333333333333333,5,5.333333333333333,4.285714285714286,3.6666666666666665,4.2,4.2,4.285714285714286,2,2,3,3,4,4,5,5,3,6,5,4,5,6,5,5,5,4,4,4,4,4,4.2,3.4000000000000004,3.4000000000000004,4.2,4.2,4.2,4.2,4.2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,5,4,4,5,5,5,Ja,40,NA,NA,NA
2023,PRU18,DU18,post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.8666666666666667,2.6,2.866666666666667,3.5714285714285716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,2.6,3.4000000000000004,2.6,2.6,2.6,2.6,2.6,2.6,3.4000000000000004,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,5,3,3,4,4,4,4,4,NA,NA,50,4,5
2023,dnu18,DU18,pre,15,20,2,5,2,1,4,5.333333333333333,5,3.3333333333333335,4.285714285714286,1.8,3.6666666666666665,3.6666666666666665,4.142857142857143,1,1,1,3,4,5,5,5,6,3,6,6,4,3,3,4,5,5,5,4,4,3,2.6,1.8,1,4.2,3.4000000000000004,3.4000000000000004,2.6,5,3.4000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,4,4,4,3,4,3,4,Ja,12,NA,NA,NA
2023,prdu16,DU16,pre,15,0,10,5,15,2.6666666666666665,6.333333333333333,5,5,6.333333333333333,4.428571428571429,2.066666666666667,2.6,3.1333333333333333,4.142857142857143,6,1,1,6,7,6,4,4,7,5,4,6,6,6,7,5,5,5,5,4,5,2,1.8,1.8,2.6,2.6,2.6,2.6,4.2,2.6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,3,5,5,5,4,2,3,Nej,78,NA,NA,NA
2023,prdu16,DU16,post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.1333333333333333,1.5333333333333332,2.6,3.5714285714285716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,3.4000000000000004,2.6,3.4000000000000004,1,1.8,1.8,1.8,1.8,4.2,3,4,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,4,1,3,4,4,2,NA,NA,25,2,2
2023,Idu20,DU20,pre,5,0,1,2,5,3.3333333333333335,6,5.333333333333333,6,5.666666666666667,3.7142857142857144,3.9333333333333336,5,4.466666666666666,4.857142857142857,2,5,3,6,6,6,5,6,5,6,6,6,5,6,6,4,4,4,4,3,3,4,4.2,3.4000000000000004,4.2,5,5,5,5,4.2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,5,5,5,5,5,5,Nej,40,NA,NA,NA
2023,Idu20,DU20,post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.428571428571429,3.9333333333333336,4.733333333333333,3.9333333333333336,4.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,4,4,4,4.2,3.4000000000000004,4.2,5,5,4.2,5,3.4000000000000004,3.4000000000000004,3,2,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,5,5,4,4,4,5,NA,NA,NA,5,8
2023,JAHU16,HU16,pre,9,2,6,7,3,2.6666666666666665,6,3.3333333333333335,3.6666666666666665,5.666666666666667,3.857142857142857,4.466666666666666,5,5,4.285714285714286,2,3,3,6,6,6,5,2,3,4,2,5,7,5,5,4,4,4,5,3,4,3,5,4.2,4.2,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,5,2,4,5,4,5,Ja,15,NA,NA,NA
2023,JAHU16,HU16,post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.142857142857143,2.3333333333333335,2.8666666666666667,3.9333333333333336,4.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,3,5,4,2.6,1.8,2.6,1.8,4.2,2.6,1.8,5,5,3,2,NA,NA,NA,NA,NA,NA,NA,3,5,2,5,5,5,4,5,4,5,NA,NA,500,3,6
2023,Tdu20,DU20,pre,7,4,4,3,3,3,4.666666666666667,5.333333333333333,6,6.666666666666667,4.857142857142857,4.2,4.466666666666666,4.2,3.4285714285714284,6,1,2,4,4,6,5,5,6,6,5,7,6,7,7,5,5,5,5,4,5,5,4.2,4.2,4.2,5,4.2,4.2,4.2,4.2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,4,1,4,3,3,4,4,Nej,7,NA,NA,NA
